Date,Visitors,Pageviews,Conversions
2023-03-01,150,500,2
2023-03-02,180,600,3
2023-03-03,200,650,3
2023-03-04,190,580,2
2023-03-05,220,700,4
2023-03-06,210,670,4
2023-03-07,240,750,5
2023-03-08,270,800,6
2023-03-09,260,780,6
2023-03-10,300,900,7
2023-03-11,290,870,7
2023-03-12,310,950,8
2023-03-13,320,980,8
2023-03-14,330,1000,9
2023-03-15,350,1100,10
2023-03-16,360,1050,10
2023-03-17,380,1200,11
2023-03-18,400,1250,12
2023-03-19,420,1300,13
2023-03-20,450,1350,13
2023-03-21,480,1400,14
2023-03-22,500,1450,15
2023-03-23,520,1500,16
2023-03-24,540,1550,17
2023-03-25,560,1600,18
2023-03-26,590,1650,18
2023-03-27,600,1700,19
2023-03-28,620,1750,20
2023-03-29,640,1800,21
2023-03-30,660,1850,22
2023-03-31,690,1900,23
